epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0239,3.023,31.4082,1.28638,0,0,0,0,2.19453,11.1703,0.94937,0.00014,0.00014,0.00014
2,107.117,2.2741,10.3392,0.94015,0.00016,0.04762,9e-05,2e-05,2.10551,9.21692,0.88808,0.00028515,0.00028515,0.00028515
3,156.302,2.44245,8.7726,0.96393,0.00063,0.19048,0.0004,0.00012,2.2111,9.52164,0.88845,0.00041446,0.00041446,0.00041446
4,206.315,2.39624,7.92072,0.8945,0.00106,0.31746,0.0008,0.00022,1.93295,9.24044,0.85603,0.00052793,0.00052793,0.00052793
5,257.376,2.14614,6.44697,0.89931,0.00048,0.14286,0.00028,6e-05,2.02139,9.50684,0.87253,0.00062556,0.00062556,0.00062556
6,306.948,2.06662,6.73663,0.89792,3e-05,0.00794,1e-05,1e-05,1.73491,8.72331,0.86484,0.00070735,0.00070735,0.00070735
7,356.741,2.03858,6.61337,0.8993,0.00011,0.03175,6e-05,3e-05,1.80472,8.99628,0.86574,0.0007733,0.0007733,0.0007733
8,407.66,2.16596,5.9612,0.93177,0.00093,0.27778,0.00072,0.00032,1.89436,9.34964,0.88532,0.00082341,0.00082341,0.00082341
9,457.491,1.97415,5.27429,0.92936,0.00328,0.98413,0.00552,0.00246,1.84614,7.93637,0.87442,0.00085768,0.00085768,0.00085768
10,509.359,2.05315,5.44737,0.92138,0.00331,0.99206,0.00579,0.00252,1.79396,7.5348,0.86499,0.00087611,0.00087611,0.00087611
11,559.133,1.88048,5.68601,0.89225,0.00333,1,0.00531,0.00236,1.8147,7.32745,0.87984,0.0008787,0.0008787,0.0008787
12,612.435,1.91089,6.25959,0.88954,0.00331,0.99206,0.24487,0.10918,1.73207,7.66433,0.87561,0.00086545,0.00086545,0.00086545
13,659.359,1.85288,5.51133,0.87327,0.46812,0.70549,0.47677,0.21538,1.70676,6.06727,0.87877,0.000812,0.000812,0.000812
14,707.306,1.8112,5.23581,0.89828,0.82373,0.44506,0.78054,0.34589,1.71688,5.67535,0.88529,0.000713,0.000713,0.000713
15,754.617,1.72289,4.65791,0.88158,0.98963,0.75763,0.96398,0.45677,1.67555,5.43812,0.87256,0.000614,0.000614,0.000614
16,801.217,1.71582,4.74787,0.89199,0.95583,0.89683,0.96758,0.46898,1.62021,4.97589,0.86314,0.000515,0.000515,0.000515
17,847.566,1.72074,4.52285,0.85486,0.9837,0.95791,0.97661,0.49906,1.64369,4.68162,0.87295,0.000416,0.000416,0.000416
18,896.697,1.69839,4.97664,0.84772,0.99097,0.99206,0.995,0.48786,1.66241,4.48856,0.88257,0.000317,0.000317,0.000317
19,947.546,1.60814,4.7698,0.85777,0.9915,0.99206,0.995,0.50218,1.65491,4.29377,0.88617,0.000218,0.000218,0.000218
20,1000.38,1.65358,4.33044,0.86153,0.99259,0.98413,0.99492,0.52085,1.58991,4.14218,0.86467,0.000119,0.000119,0.000119
